"","id_match","period","license_licenseAbbrev","team_team_abbrev_name","local","type_normalized_description","minute","second","crono"
"1",102722,1,"J. Parra","CJB",TRUE,"Starting Five",10,0,"00:10:00"
"2",102722,1,"P. Ribas","CJB",TRUE,"Starting Five",10,0,"00:10:00"
"3",102722,1,"D. Willis","CJB",TRUE,"Starting Five",10,0,"00:10:00"
"4",102722,1,"V. Brodziansky","CJB",TRUE,"Starting Five",10,0,"00:10:00"
"5",102722,1,"G. Vives","CJB",TRUE,"Starting Five",10,0,"00:10:00"
"6",102722,1,"P. Ribas","CJB",TRUE,"Substitution - Out",5,3,"00:05:03"
"7",102722,1,"B. Paul","CJB",TRUE,"Substitution - In",5,3,"00:05:03"
"8",102722,1,"V. Brodziansky","CJB",TRUE,"Substitution - Out",4,24,"00:04:24"
"9",102722,1,"A. Tomic","CJB",TRUE,"Substitution - In",4,24,"00:04:24"
"10",102722,1,"J. Parra","CJB",TRUE,"Substitution - Out",4,14,"00:04:14"
"11",102722,1,"A. Ventura","CJB",TRUE,"Substitution - In",4,14,"00:04:14"
"12",102722,1,"G. Vives","CJB",TRUE,"Substitution - Out",2,27,"00:02:27"
"13",102722,1,"D. Willis","CJB",TRUE,"Substitution - Out",2,27,"00:02:27"
"14",102722,1,"A. Feliz","CJB",TRUE,"Substitution - In",2,27,"00:02:27"
"15",102722,1,"Z. Maronka","CJB",TRUE,"Substitution - In",2,27,"00:02:27"
"16",102722,1,"A. Ventura","CJB",TRUE,"Substitution - Out",0,31,"00:00:31"
"17",102722,1,"P. Ribas","CJB",TRUE,"Substitution - In",0,31,"00:00:31"
